Dates,Within 6 Months,Within 12 Months,Within 24 Months,Recession
date,number,number,number,number
1991-04-01,0.26547677211688797,0.3791241975498672,0.532139602697637,-1
1991-05-01,0.22303145313595843,0.32384608373381196,0.47290692643556603,-1
1991-06-01,0.19078249706269143,0.278019253359071,0.4188910649282545,-1
1991-07-01,0.1573348919612322,0.23229625193651532,0.3628829765398416,-1
1991-08-01,0.12719739321628934,0.19215825354318897,0.31718941570659076,-1
1991-09-01,0.1027659923669891,0.15968182904837708,0.28093825984899834,-1
1991-10-01,0.08296326538705617,0.1318164756202519,0.24416344783877847,-1
1991-11-01,0.06830792386152558,0.11090141215019993,0.2137453324257121,-1
1991-12-01,0.05587799539888686,0.09306243171253424,0.18835080399559184,-1
1992-01-01,0.046961537839304665,0.08054542062114955,0.171117317786065,-1
1992-02-01,0.04124905303688935,0.07273894914556811,0.1609156298753197,-1
1992-03-01,0.038452367763657985,0.06852164992014405,0.1555307430807559,-1
1992-04-01,0.03576640570253276,0.06610610905570599,0.15763249710187374,-1
1992-05-01,0.03490774081188458,0.06512980697462764,0.15979897906396368,-1
1992-06-01,0.03336011417304388,0.06344313342522905,0.16090159022198475,-1
1992-07-01,0.031567107108441475,0.06131787419781572,0.16065381809198268,-1
1992-08-01,0.03128345791419605,0.060183377153416276,0.15862471179673518,-1
1992-09-01,0.030955173620155756,0.05836486287518661,0.1534042355904998,-1
1992-10-01,0.030822919272975206,0.057468238577511786,0.15049633615772182,-1
1992-11-01,0.02853809583020906,0.05445478705303036,0.1458706089032644,-1
1992-12-01,0.029951260568561833,0.05555631369697206,0.14948585394547032,-1
1993-01-01,0.02757881018732107,0.05093253334444347,0.13506531966354096,-1
1993-02-01,0.02508101213864849,0.04678497437849065,0.12438033113273257,-1
1993-03-01,0.021826606137325552,0.041730714260502164,0.11355577055472485,-1
1993-04-01,0.01985796152555985,0.03820951150115966,0.10508350752129854,-1
1993-05-01,0.018931449890644214,0.036828482190442574,0.10091889914638993,-1
1993-06-01,0.017852278426335366,0.03540572476984701,0.09740888797138456,-1
1993-07-01,0.018237944271183207,0.03587173932029019,0.09733086213290372,-1
1993-08-01,0.016499245481609498,0.033574878809202846,0.09395342201465548,-1
1993-09-01,0.015475924794976567,0.03286622055686955,0.09594406564892848,-1
1993-10-01,0.014724433307836383,0.03265385184374568,0.09847095577375921,-1
1993-11-01,0.015238112890054903,0.03441398002936286,0.10458667678492262,-1
1993-12-01,0.016227015424116482,0.03708782752665535,0.11177832761449691,-1
1994-01-01,0.01590358962505231,0.03736215519570659,0.11444346003483633,-1
1994-02-01,0.016442610804177887,0.038648038385086084,0.11888638068516534,-1
1994-03-01,0.019871294074355915,0.0430375578904509,0.12877828326708893,-1
1994-04-01,0.020505383157163666,0.04468543146717876,0.13485011854323012,-1
1994-05-01,0.021983865666110578,0.04799491348543693,0.14477243916605068,-1
1994-06-01,0.02445370391541692,0.052049588376344,0.1570712445025138,-1
1994-07-01,0.024465876241361675,0.05413301359782338,0.17099805951064778,-1
1994-08-01,0.025914559826044303,0.05913430874444853,0.1903348050414072,-1
1994-09-01,0.02905889111941917,0.06671752066705285,0.212481824200157,-1
1994-10-01,0.035420865903130774,0.08319027328282336,0.25250094653685595,-1
1994-11-01,0.048523327440080914,0.11060995394858554,0.30355987108573573,-1
1994-12-01,0.06653255379753023,0.14541669142257493,0.3573840379621201,-1
